CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
LAK,AL,Jahr,0,123,"1,09","1,37"
PTTL,AL,Jahr,0,5,30,50
PTTL,AL,Jahr,6,123,20,40
aFXa,AL,Jahr,0,123,"0,4","0,8"
aFXaA,AL,Jahr,0,123,25,130
HEPA,AL,Jahr,18,123,"0,3","0,8"
HEPA,AL,Jahr,0,17,"0,35","0,7"
HIRU,AL,Jahr,0,123,"0,15","1,5"
DABI,AL,Jahr,0,123,"0,06","0,2"
C1-I,AL,Jahr,0,123,70,130
AADP0,AL,Jahr,0,123,500,1200
AADP1,AL,Jahr,0,123,0,450
AASPI0,AL,Jahr,0,123,745,1360
AASP1,AL,Jahr,0,123,0,300
ATRAP,AL,Jahr,0,123,940,1560
ATRAP1,AL,Jahr,0,123,0,300
MPADP,AL,Jahr,18,123,500,1200
MPADP,AL,Jahr,0,1,200,1000
MPADP,AL,Jahr,2,4,115,1250
MPADP,AL,Jahr,5,9,160,1100
MPADP,AL,Jahr,10,17,170,1300
MPADPHS,AL,Jahr,0,123,430,1000
MPASPI,AL,Jahr,18,123,700,1300
MPASPI,AL,Jahr,0,1,240,1000
MPASPI,AL,Jahr,2,4,250,1350
MPASPI,AL,Jahr,5,9,400,1300
MPASPI,AL,Jahr,10,17,350,1280
MPCOL,AL,Jahr,18,123,720,1250
MPCOL,AL,Jahr,0,1,160,1020
MPCOL,AL,Jahr,2,4,145,1570
MPCOL,AL,Jahr,5,9,145,1450
MPCOL,AL,Jahr,10,17,150,1300
MPTRAP,AL,Jahr,18,123,840,1300
MPTRAP,AL,Jahr,0,1,150,950
MPTRAP,AL,Jahr,2,4,220,1340
MPTRAP,AL,Jahr,5,9,485,1320
MPTRAP,AL,Jahr,10,17,480,1360
MPADPH,AL,Jahr,0,110,548,1167
MPASPIH,AL,Jahr,0,110,790,1410
MPTRAPH,AL,Jahr,0,110,923,1509
PFAA,AL,Jahr,0,123,68,121
PFAE,AL,Jahr,0,123,84,160
REPT,AL,Jahr,0,123,18,22
TRCO,AL,Jahr,0,123,18,22
BLZ,AL,Jahr,0,123,2,8
EULY,AL,Jahr,0,123,0,60
ßTG,AL,Jahr,0,123,10,40
PF4,AL,Jahr,0,123,0,5
RIST,AL,Jahr,0,123,50,185
vWF,AL,Jahr,0,123,50,160
vWFAg,AL,Jahr,0,120,50,160
INRC,AL,Jahr,0,123,2,3
GLUB,AL,Tag,0,1,40,60
GLUB,AL,Tag,2,365,50,80
GLUB,AL,Jahr,1,14,60,100
GLUB,AL,Jahr,15,123,74,106
GLUH,AL,Tag,0,1,30,80
GLUH,AL,Tag,2,365,50,120
GLUH,AL,Jahr,1,14,70,105
GLUH,AL,Jahr,15,123,70,100
GLUV,AL,Jahr,0,13,50,100
GLUV,AL,Jahr,14,123,60,100
GLSC,AL,Jahr,0,14,60,100
GLSC,AL,Jahr,15,123,74,106
HBA1,AL,Jahr,0,123,"4,8","5,99"
HBA1C,AL,Jahr,0,123,20,42
OGT1,AL,Jahr,0,123,70,90
OGT2,AL,Jahr,0,123,120,160
OGT3,AL,Jahr,0,123,70,140
GLUK,AL,Jahr,0,123,0,"0,2"
GLUU,AL,Jahr,0,123,0,"0,5"
LACS,AL,Jahr,0,14,"0,5","2,2"
LACS,AL,Jahr,14,123,"0,5","2,2"
ALK,AL,Jahr,0,120,0,0
,AL,Jahr,0,1,130,146
,AL,Jahr,1,14,130,145
,AL,Jahr,14,123,135,145
K,AL,Jahr,0,1,"3,7","5,9"
K,AL,Jahr,2,14,"3,7",5
K,AL,Jahr,15,123,"3,8",5
CL,AL,Jahr,0,1,95,110
CL,AL,Jahr,1,123,95,105
CO2,AL,Jahr,0,123,23,29
LDH7,AL,Jahr,0,1,0,450
LDH7,AL,Jahr,1,3,0,340
LDH7,AL,Jahr,4,12,0,320
LDH7,AL,Jahr,13,17,0,270
LDH7,AL,Jahr,18,123,0,250
GOT7,AL,Tag,0,30,0,100
GOT7,AL,Monat,1,12,0,80
GOT7,AL,Jahr,1,14,0,40
GOT7,M,Jahr,15,123,10,40
GOT7,W,Jahr,15,123,10,35
FIB4X,AL,Jahr,0,123,0,1
APRIX,AL,Jahr,0,123,0,"0,5"
CK7,AL,Woche,0,1,0,650
CK7,AL,Woche,2,25,0,300
CK7,AL,Woche,26,52,0,200
CK7,AL,Jahr,1,3,0,220
CK7,AL,Jahr,4,6,0,150
CK7,M,Jahr,7,14,0,250
CK7,M,Jahr,15,123,0,190
CK7,W,Jahr,7,14,0,150
CK7,W,Jahr,15,123,0,170
MB7,AL,Jahr,0,123,0,24
CKMP,AL,Jahr,0,123,6,25
GPT7,AL,Monat,0,1,0,50
GPT7,AL,Monat,1,12,0,60
GPT7,AL,Jahr,1,14,0,30
GPT7,M,Jahr,15,123,10,50
GPT7,W,Jahr,15,123,10,35
AP7,AL,Tag,0,30,0,250
AP7,AL,Monat,1,12,0,450
AP7,AL,Jahr,1,6,70,350
AP7,AL,Jahr,7,12,50,300
AP7,M,Jahr,18,123,40,130
AP7,M,Jahr,13,17,48,380
AP7,W,Jahr,13,17,47,330
AP7,W,Jahr,18,123,55,105
CA,AL,Jahr,0,1,"1,9","2,7"
CA,AL,Jahr,1,14,"2,3","2,7"
CA,AL,Jahr,14,123,"2,1","2,5"
CAS,AL,Jahr,0,14,2,"2,7"
GGT7,AL,Tag,0,30,0,130
GGT7,AL,Tag,30,180,0,80
GGT7,AL,Tag,180,365,0,40
GGT7,AL,Jahr,1,14,0,20
GGT7,M,Jahr,14,123,8,60
GGT7,W,Jahr,14,123,5,40
CHE7,AL,Jahr,0,123,"5,5",13
HSS,AL,Tag,0,7,"1,9","7,9"
HSS,AL,Woche,1,52,"1,7","5,7"
HSS,AL,Jahr,1,14,"2,5","6,4"
HSS,M,Jahr,14,65,"3,6",7
HSS,M,Jahr,65,123,0,"8,4"
HSS,W,Jahr,14,123,"2,3","6,1"
HSTS,AL,Jahr,0,3,11,36
HSTS,AL,Jahr,3,13,15,36
HSTS,AL,Jahr,13,65,18,50
HSTS,AL,Jahr,66,123,18,60
QuHsKr,AL,Jahr,0,0,20,35
KRE2,AL,Monat,0,1,"0,5","1,2"
KRE2,AL,Monat,2,12,"0,2","0,7"
KRE2,AL,Jahr,1,15,"0,3",1
KRE2,M,Jahr,16,123,"0,6","1,2"
KRE2,W,Jahr,16,123,"0,5",1
KRES,AL,Monat,1,12,"0,2","0,4"
KRES,AL,Jahr,2,7,"0,2","0,5"
KRES,AL,Jahr,7,15,"0,3","0,7"
KRES,M,Jahr,15,123,"0,6","1,3"
KRES,W,Jahr,15,123,"0,6","1,2"
KRES,AL,Tag,0,1,"0,42","0,92"
KRES,AL,Tag,1,2,"0,36","0,78"
KRES,AL,Tag,2,3,"0,33","0,7"
KRES,AL,Tag,3,4,"0,31","0,66"
KRES,AL,Tag,4,5,"0,28","0,62"
KRES,AL,Tag,5,6,"0,27","0,6"
KRES,AL,Tag,6,7,"0,26","0,58"
KRES,AL,Woche,1,4,"0,2","0,5"
CYSC,AL,Monat,0,3,"0,81","2,32"
