ul,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
55,2523.8513697506464,0.0686241009559132,1.171778537456815,-0.01908650416186833,38.811827434080655,9.250476237694201,26.35624744916834,22.98421581188407,11.543427761494709,2.7897723458698,4.88175062426071,7.915831137829286,10.362663119662507
56,2170.876825289216,0.06336576155084665,1.1579018663429106,-0.017544651815878942,35.85508696159885,8.950054532727627,24.144786918574866,20.042139845752914,11.870719646063963,3.6498331225093326,3.745428476616689,8.90763519298058,10.318032893027084
57,2267.5158239290085,0.06497507135191218,1.1639731142996428,-0.018219234922182526,37.09915929600459,9.99537210853404,22.68927137581369,20.757911298720213,13.533884143108116,3.6870025458045057,3.0829033848042067,9.224430087711946,10.803387135060895
58,1956.626309546848,0.06072423955364649,1.1604902805687574,-0.017832253396528608,34.91135977678307,6.834620848389788,22.047320990006828,19.69590252037653,11.209318333881802,6.200777662693122,3.413972345280354,7.47930324881445,8.797556350170717
59,1736.1782678883576,0.05740974047042115,1.158761031906517,-0.017640114656279654,33.21143397460474,4.183046759724901,20.723574363970865,19.267843716338977,11.351056320807105,4.418077048066102,0.4055939284091015,4.961958806806196,9.06514130315912
60,1810.3871595888795,0.05814274992894941,1.160242017258619,-0.017804668584291,33.58254645378152,4.562157310808639,19.567191878726735,20.202422241182884,13.383740095537705,5.184010771830111,2.456347772587154,5.988081802669625,8.601939365118648
61,1873.8711891625658,0.05952945025668439,1.1659301356910152,-0.01843668174344615,34.24823254784624,3.12256242618017,21.500694513523847,21.48357130909416,11.844855822537422,4.153815562704188,2.353484517591259,5.391268198663973,6.9133045947052025
62,1588.3069885221823,0.05578698809354279,1.1584478251131363,-0.017605313901459585,32.77234990565047,4.4640802841141705,19.315801579146775,16.978020146647026,12.95570528117499,3.860200055071635,1.1645327749517254,3.138637422368604,7.551605351473302
63,1709.3790117814938,0.05817882815845177,1.1687552240173087,-0.018750580446367626,34.41597576122213,4.1935426483110145,19.415621173559746,18.837129165852033,10.998132605915215,5.798115152363575,0.7462629348231556,3.2075926825014056,8.108372316591526
64,1544.0433255003595,0.05500662200258981,1.158160301785327,-0.017573366865036327,32.49974021193837,4.4914388021343825,17.99456116209438,17.00144476004047,12.162490328912348,6.143937996547759,-0.00545548227904044,5.142962090305826,7.044371462100168
65,1519.8857203115383,0.053940658300126926,1.1543368262764235,-0.017148536252935942,31.491652531191836,2.958992214633233,19.42006988457591,15.907526054857824,12.357246897751986,6.3662477290486805,0.01455531542582638,5.064069951465455,7.749237438562422
66,1310.2697111241864,0.05010320721541692,1.1419909354746889,-0.015776770608298768,29.321874559805494,3.704753411382875,17.301364524209692,15.928212098856124,9.276058835929758,6.976520912262012,0.41743424078819596,3.4223014555700226,8.577102946844908
67,1214.978294247952,0.04827481737408631,1.1437419063072267,-0.015971322923025194,28.39209510042221,1.543810775984774,15.235867931117754,16.793579891282246,10.363398021678183,6.035490243309074,1.784542408453764,4.993823554354607,5.736672951190655
68,1340.44006241281,0.050958592097941915,1.1558216142697568,-0.017313512696639638,30.09198257919295,0.4120553065671194,16.568493996245856,16.306124291631768,11.65853538666543,7.37215511906697,1.901029186860288,4.123084346353073,5.68134738601669
69,1156.940864267622,0.04697201706528433,1.148054240338299,-0.01645047114869988,27.720029931089282,0.9858650855691933,13.671803945365216,16.146059338210847,12.025909389791593,6.884970686358688,1.8420092973516244,1.3974416279095292,6.214393585202053
70,1136.5620296891532,0.046374000906872485,1.1397826304087557,-0.015531403378750641,26.865863573068676,0.753101062250234,15.699840831010695,16.021862153269904,12.625674521700967,3.63117665967954,0.7176978913488582,2.6345074274411497,4.24774873092396
71,1212.6267686993258,0.048277080516280296,1.1512355014314208,-0.016803944603491217,28.29387957780986,1.6626405066160435,15.588101159791506,16.655653400391657,10.670780669079843,7.7615983344514206,0.8012017565019027,2.4023828846624737,4.548448300898082
72,1024.3334373624762,0.0448021174225064,1.1467814607204194,-0.01630905119115772,26.578556943706726,2.53715962632551,13.752575131408749,13.728895698556995,11.673052838924777,7.059719680689092,2.3394617478740503,0.9567239905582977,3.372201330639099
73,957.4617484250427,0.04288494206198824,1.1374378490097734,-0.015270872112197048,25.285968206622723,1.8127751281902296,12.719870465514282,14.286107061043515,11.591816651963152,6.174065765964118,2.05586053025271,2.5649617380372587,3.5077905004814327
74,1054.4907290385433,0.04565315341692494,1.1468258385867165,-0.01631398206519069,27.336399796312477,0.5933533092495439,13.01974128543102,15.184927773433262,10.165459071156663,7.333169161545177,2.7959885288161126,1.3905631695440104,4.585763046395511
75,878.93942329833,0.042031536830376574,1.1360821879881355,-0.015120243109792847,25.25854906083889,0.5253588131350151,11.985952360054899,13.403430319471562,11.106352148941982,4.599006581901681,2.1054401049478746,1.4489170853023396,2.224653511945255
76,987.7137557186929,0.04374423273377388,1.1437192075648648,-0.01596880084054053,26.150887313962116,1.2370371154237696,10.303386170110445,15.630572814077755,11.89332810752512,6.056947736716754,3.88092299278199,2.26630799325608,3.3440883881716226
77,788.0266221869601,0.03858729894477067,1.1277300659653122,-0.014192229551701352,22.73529578551253,2.8260632526509766,10.603866852444972,12.129910832547209,11.629056656770286,6.744514377556529,2.177167381995599,0.22515181995198202,4.192020537370596
78,856.6727049626049,0.04031111079629918,1.1340692690801581,-0.014896585453350875,23.717376153899995,3.2359662351886187,10.608844014671746,14.278983991843667,10.493329479532573,7.266209442393462,2.9390549182668266,1.0104629918997983,3.5200232924696357
79,835.3631806382602,0.040000490872231335,1.1363871510569863,-0.015154127895220693,23.66478843559936,3.6760969174526674,9.713669002553825,13.831307181633322,11.600644109173665,5.653293565245697,4.20906039099327,0.17911518911624869,2.5816657973844075
80,700.641361069887,0.03660201466296325,1.1227449614580696,-0.013638329050896625,21.518704383190094,3.412623681298062,10.103463449517642,12.239987467832629,10.264861514508311,5.994416445437577,1.931693047878375,0.39223582568806836,2.8889612937527915
81,736.8786024750167,0.037713215486566,1.1294175365274273,-0.014379726280825261,22.37890978703551,3.566559351736672,9.303107006194647,12.98689542203973,9.585091581939361,7.211935714050529,2.760659794577568,0.9567364155807695,2.6112443178976714
82,695.4264885591315,0.03612984087989673,1.1229861646428236,-0.013665129404758183,21.012534829602934,4.638621876189221,10.22216371058013,11.18927372486357,10.47604337778371,7.528572073951472,2.1647501930655246,0.008424814217371322,2.4294586559434928
83,614.7422049736165,0.03385447739844524,1.1187080680182155,-0.01318978533535728,19.910882359941777,4.219358766851454,7.493108989676665,10.53331736946593,11.045290755232086,6.242978567797523,4.649102818458967,0.27305458668988797,2.0298811906077585
84,673.0164742385215,0.03613674127269922,1.1234248657686945,-0.013713873974299393,21.300023289800187,3.831695853157201,9.536941748597782,12.82185074471493,9.381628353103283,4.928161339035561,3.3528105040044665,0.35449162811685464,0.902940762444729
